	Module name	Number of genes in KEGG_module	top1	top1_Number of module genes in MGS	top1_DeltaMGS_SCC	top1_pctSCCeffect_bg.adj	top2	top2_Number of module genes in MGS	top2_DeltaMGS_SCC	top2_pctSCCeffect_bg.adj	top3	top3_Number of module genes in MGS	top3_DeltaMGS_SCC	top3_pctSCCeffect_bg.adj	top4	top4_Number of module genes in MGS	top4_DeltaMGS_SCC	top4_pctSCCeffect_bg.adj	top5	top5_Number of module genes in MGS	top5_DeltaMGS_SCC	top5_pctSCCeffect_bg.adj
M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P [PATH:map00750]	6	 T2DCAG00060 : Bacteroides sp 	5	0.0222284512214101	19.8898123469822	 T2DCAG00005 : Escherichia sp 	6	0.0152743717224988	13.6673663968965	 T2DCAG00144 : Bacteroides sp 	5	0.0100788327305791	9.01844621071735	 T2DCAG00019 : Bacteroides sp 	5	0.00627500060109461	5.61481243968806	 T2DCAG00020 : Bacteroides sp 	5	0.00538780162008869	4.82095500576818
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine [PATH:map01230 map00290]	7	 T2DCAG00385 : Prevotella sp 	6	0.112189959868482	62.5573957841634	 T2DCAG00050 : Bacteroides sp 	6	0.0382825187530575	21.3464260086831	 T2DCAG00225 : Prevotella sp 	6	0.0250749580417745	13.981857880415	 T2DCAG00243 : Eubacterium sp 	6	0.0196557401613554	10.9600887472108	 T2DCAG00186 : NA sp 	5	0.0147714943038351	8.23662132129997
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate [PATH:map01210 map01230 map00290]	5	 T2DCAG00385 : Prevotella sp 	4	0.133892771108726	77.2701915978345	 T2DCAG00050 : Bacteroides sp 	4	0.0569998646587311	32.8949085657078	 T2DCAG00225 : Prevotella sp 	4	0.0338267727679508	19.5216006904022	 T2DCAG00060 : Bacteroides sp 	4	0.0301264366811603	17.3861181245025	 T2DCAG00243 : Eubacterium sp 	4	0.0276341897378017	15.9478298791568
M00208	Glycine betaine/proline transport system [PATH:map02010] [BR:ko02000]	3	 T2DCAG00050 : Bacteroides sp 	3	0.0486959763695484	20.7535903182517	 T2DCAG00005 : Escherichia sp 	3	0.023353120351756	9.95279545798874	 T2DCAG00020 : Bacteroides sp 	3	0.0144633932071453	6.16410963720986	 T2DCAG00791 : Phascolarctobacterium sp 	2	0.0081241427461882	3.46240373048196	 T2DCAG00144 : Bacteroides sp 	2	0.00810225988306687	3.45307753948902
M00237	Branched-chain amino acid transport system [PATH:map02010] [BR:ko02000]	5	 T2DCAG00337 : Butyrivibrio sp 	5	-0.015720116585946	10.5174117166768	 T2DCAG00352 : Eubacterium sp 	5	-0.00798976776684429	5.34548689032368	 T2DCAG00600 : NA sp 	5	-0.0071851145894419	4.807140453158	 T2DCAG00272 : NA sp 	4	-0.00641513146744596	4.29198972481268	 T2DCAG00235 : NA sp 	5	-0.00558613975434524	3.73735979514739
M00357	Methanogenesis, acetate => methane [PATH:map01200 map00680]	21	 T2DCAG00682 : Methanobrevibacter sp 	12	-0.047699891682553	38.8441088852569	 T2DCAG00588 : NA sp 	6	-0.00470305638186549	3.82990459195332	 T2DCAG00537 : NA sp 	4	-0.00312202686530019	2.54240307935071	 T2DCAG00823 : Roseburia sp 	1	-0.0023381007863901	1.9040177729473	 T2DCAG00742 : NA sp 	1	-0.0023381007863901	1.9040177729473
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate [PATH:map01210 map01230 map00290]	4	 T2DCAG00385 : Prevotella sp 	4	0.143496380679247	74.2865553881074	 T2DCAG00050 : Bacteroides sp 	4	0.0643558335828543	33.3163329511902	 T2DCAG00060 : Bacteroides sp 	4	0.0329148804804082	17.0396847664493	 T2DCAG00225 : Prevotella sp 	4	0.0307381402708153	15.9128094307787	 T2DCAG00243 : Eubacterium sp 	3	0.028755251778899	14.8862890747536
M00061	Uronic acid metabolism [PATH:map00040]	7	 T2DCAG00385 : Prevotella sp 	4	0.12648033540515	56.2216052286552	 T2DCAG00050 : Bacteroides sp 	3	0.0277613792590672	12.3401736744818	 T2DCAG00005 : Escherichia sp 	5	0.0193024228035968	8.58009422052992	 T2DCAG00060 : Bacteroides sp 	4	0.0132518183092032	5.8905480852445	 T2DCAG00057 : NA sp 	5	0.00971404921805433	4.31797906417428
M00530	Dissimilatory nitrate reduction, nitrate => ammonia [PATH:map00910]	10	 T2DCAG00627 : Mitsuokella sp 	2	0.00641129798691781	6.73057903307162	 T2DCAG00247 : Sutterella sp 	2	0.00308180246937627	3.23527546633719	 T2DCAG00036 : Enterobacter sp 	4	0.00308180246937627	3.23527546633719	 T2DCAG00639 : Bacteroides sp 	2	0.00226653629997121	2.37940924433864	 T2DCAG00392 : Bacteroides sp 	2	0.00226653629997121	2.37940924433864
M00239	Peptides/nickel transport system [PATH:map02010] [BR:ko02000]	5	 T2DCAG00554 : NA sp 	5	-0.0109553636744847	7.45598079387189	 T2DCAG00410 : NA sp 	4	-0.0109546344361605	7.45548449022552	 T2DCAG00035 : NA sp 	5	-0.00908191025276398	6.1809493895657	 T2DCAG00537 : NA sp 	5	-0.00750120830539402	5.10515823277596	 T2DCAG00598 : NA sp 	5	-0.00585864456201901	3.98726529127208
